PROTOCOL_NAME,term,estimate,std.error,statistic,p.value
tox21-ahr-p1,FractionCSP3,-2.5593835075433407,0.4609964049162805,-5.551851338207591,2.8265993101217983e-8
tox21-ap1-agonist-p1,FractionCSP3,-2.391804008230938,0.5545542655579181,-4.313020666831632,1.6103905817537156e-5
tox21-ar-bla-antagonist-p1,FractionCSP3,-1.6664518087742433,0.35985522175391577,-4.6308951712637185,3.6408818406210792e-6
tox21-ar-mda-kb2-luc-agonist-p3,FractionCSP3,-1834785972860380.2,5343104.386507226,-343393248.59415203,0
tox21-ar-mda-kb2-luc-antagonist-p1,FractionCSP3,-1.9200363574968315,0.41313889010137106,-4.647435531972592,3.360870796978682e-6
tox21-ar-mda-kb2-luc-antagonist-p2,FractionCSP3,-2.2094484380196913,0.4680737051685468,-4.720300272419917,2.3549674309978096e-6
tox21-are-bla-p1,FractionCSP3,-2.8648799892315977,0.4634136613938725,-6.182122427324449,6.324544512608371e-10
tox21-aromatase-p1,FractionCSP3,-2.285586622253467,0.3448454186597138,-6.627858450713059,3.4059182554630575e-11
tox21-car-agonist-p1,FractionCSP3,-2.6267890973228325,0.4103427387642971,-6.401451394590591,1.539068108800423e-10
tox21-car-antagonist-p1,FractionCSP3,-2.501057078597643,0.38284479510780073,-6.53282246632973,6.454163459729654e-11
tox21-elg1-luc-agonist-p1,FractionCSP3,-2.8673594626976904,0.49301205484801097,-5.816002741721314,6.027147801514792e-9
tox21-er-bla-antagonist-p1,FractionCSP3,-2.6252627155714623,0.6005392280010821,-4.371509125739796,1.2339069195764107e-5
tox21-er-luc-bg1-4e2-agonist-p4,FractionCSP3,-1564227545149053.8,5372441.761774024,-291157655.03105855,0
tox21-er-luc-bg1-4e2-antagonist-p1,FractionCSP3,-2.3643412179401695,0.5260753633319292,-4.494301354401916,6.979872483495754e-6
tox21-er-luc-bg1-4e2-antagonist-p2,FractionCSP3,-1.9331167893186365,0.5439100292935062,-3.5541113147510703,3.792586531856925e-4
tox21-erb-bla-antagonist-p1,FractionCSP3,-2.3706012222737214,0.38072136467867645,-6.226604131539809,4.766534608288101e-10
tox21-erb-bla-p1,FractionCSP3,-2.8350937551176205,0.39088459103662293,-7.253019996513482,4.075798810636829e-13
tox21-err-p1,FractionCSP3,-415708578549965.8,5376603.506609102,-77318064.84130043,0
tox21-esre-bla-p1,FractionCSP3,-2.5832835807777825,0.5323431174856886,-4.852666439981223,1.2181247608145698e-6
tox21-fxr-bla-agonist-p2,FractionCSP3,-3.1626513251877753,0.48589637943679814,-6.508900784265156,7.57026993985131e-11
tox21-fxr-bla-antagonist-p1,FractionCSP3,-2.718823753079322,0.5142764361389155,-5.2866971185608005,1.245445986861832e-7
tox21-gh3-tre-antagonist-p1,FractionCSP3,-2.4767951458965545,0.3056037163084258,-8.10459760049805,5.292037337399384e-16
tox21-gr-hela-bla-antagonist-p1,FractionCSP3,-3.5602129582257103,0.5392405490175893,-6.602272334140771,4.04902808124953e-11
tox21-h2ax-cho-p2,FractionCSP3,-1.7744324064130061,0.42082170928802975,-4.216589513442861,2.4802486061433328e-5
tox21-hdac-p1,FractionCSP3,-4.064670235289203,1.2569583558627087,-3.2337350050864906,0.0012218276702559842
tox21-hre-bla-agonist-p1,FractionCSP3,-2.7577722668501985,0.4202840607017613,-6.561686546583425,5.320256223591203e-11
tox21-hse-bla-p1,FractionCSP3,-2.782580133945561,0.5299724819338891,-5.250423802745048,1.5174966787663633e-7
tox21-mitotox-p1,FractionCSP3,-2.2270083482636736,0.5768789684098907,-3.86044295288178,1.1318166342920976e-4
tox21-nfkb-bla-agonist-p1,FractionCSP3,-2.9666341674827788,0.6139441269277701,-4.832091451591979,1.3510616351282591e-6
tox21-p53-bla-p1,FractionCSP3,-3.609499980424315,0.4620406695520841,-7.812082827954239,5.625057318790918e-15
tox21-pgc-err-p1,FractionCSP3,-2.501837503869634,0.36712186948199926,-6.8147329588391745,9.443902381289253e-12
tox21-ppard-bla-agonist-p1,FractionCSP3,-2.7642234924105207,0.4015796611290278,-6.88337523030673,5.8450794573582425e-12
tox21-ppard-bla-antagonist-p1,FractionCSP3,-2.7110883816252995,0.44318317555774756,-6.11730889425887,9.51687835075475e-10
tox21-pparg-bla-antagonist-p1,FractionCSP3,-4.529474917080451,0.5684454369127854,-7.96817886634807,1.6102968384692558e-15
tox21-pr-bla-agonist-p1,FractionCSP3,-2.129606555983247,0.41532614699108666,-5.127552337871351,2.9353339289994797e-07
tox21-pr-bla-antagonist-p1,FractionCSP3,-1.5036825041104724,0.3716700316568537,-4.045745892955812,5.215678555898658e-5
tox21-rar-antagonist-p2,FractionCSP3,-2.669867225860044,0.5538389387280035,-4.820656402368353,1.4308662359335582e-6
tox21-ror-cho-antagonist-p1,FractionCSP3,-2.2113407802156333,0.4445089499866806,-4.974794726364665,6.531681744607887e-7
tox21-rxr-bla-agonist-p1,FractionCSP3,-2.271288696285981,0.3741430618891384,-6.070642296071716,1.2739967378937447e-9
tox21-sbe-bla-agonist-p1,FractionCSP3,-3.4242647175551415,0.6906139705081089,-4.958290541148176,7.111615577322573e-7
tox21-sbe-bla-antagonist-p1,FractionCSP3,-3.2397667272735986,0.6646953656679871,-4.874062457194639,1.0932640060883829e-6
tox21-shh-3t3-gli3-agonist-p1,FractionCSP3,-2.2779171403321308,0.35117587487570606,-6.4865422237173,8.78286739470952e-11
tox21-shh-3t3-gli3-antagonist-p1,FractionCSP3,-1301166547009674,5443930.763453695,-239012324.65054318,0
tox21-vdr-bla-agonist-p1,FractionCSP3,-1533430559047527.8,5543695.221269932,-276608020.0737036,0
tox21-vdr-bla-antagonist-p1,FractionCSP3,-3.3870343012232613,0.49386418467716275,-6.858230271217892,6.971881645073448e-12
tox21-dt40-p1_653,FractionCSP3,-1270389032526692.8,5318665.485193111,-238854847.3415728,0
tox21-dt40-p1_100,FractionCSP3,4381508.274519318,39.50434244535211,110912.0669602444,0
tox21-dt40-p1_657,FractionCSP3,-2315750759300848.5,5352765.68197786,-432626962.7489416,0
tox21-rt-viability-hepg2-p1,FractionCSP3,-3.145507212731151,0.5210419220413552,-6.036956105964716,1.5704841965596897e-9
tox21-rt-viability-hek293-p1,FractionCSP3,-1.0273737364318816,0.3265528092630027,-3.1461181998420478,0.001654531248949351
